"chr","pos","p_val","tissue","window_start","window_end","CHR_ID","CHR_POS","SNPS","MAPPED_GENE","P.VALUE","DISEASE.TRAIT","PUBMEDID","Category"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168847150,"rs531864","SPC25, NOSTRIN",8e-06,"Mitochondrial DNA levels",25240745,"Other measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168850753,"rs139707092","NOSTRIN, SPC25",5e-16,"White blood cell count",27863252,"Inflammatory measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168850753,"rs139707092","NOSTRIN, SPC25",5e-16,"White blood cell count",27863252,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168850753,"rs139707092","NOSTRIN, SPC25",1e-14,"Sum basophil neutrophil counts",27863252,"Inflammatory measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168850753,"rs139707092","NOSTRIN, SPC25",1e-14,"Sum basophil neutrophil counts",27863252,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168850753,"rs139707092","NOSTRIN, SPC25",1e-14,"Sum neutrophil eosinophil counts",27863252,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168850753,"rs139707092","NOSTRIN, SPC25",6e-15,"Granulocyte count",27863252,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168864871,"rs3931","SPC25, NOSTRIN",8e-14,"Monocyte count",27863252,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168850753,"rs139707092","NOSTRIN, SPC25",1e-16,"Myeloid white cell count",27863252,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168850753,"rs139707092","NOSTRIN, SPC25",5e-14,"Neutrophil count",27863252,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168838603,"rs526418","SPC25, NOSTRIN",7e-13,"Lymphocyte count",32888493,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168849569,"rs2140046","NOSTRIN, SPC25",2e-08,"Eosinophil counts",30595370,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168847150,"rs531864","SPC25, NOSTRIN",1e-10,"Lymphocyte count",32888493,"Hematological measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168847464,"rs11676084","SPC25, NOSTRIN",3e-07,"Metabolite levels",23823483,"Other measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168847464,"rs11676084","SPC25, NOSTRIN",3e-07,"Metabolite levels",23823483,"Cardiovascular measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168847464,"rs11676084","SPC25, NOSTRIN",3e-07,"Metabolite levels",23823483,"Other trait"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168847464,"rs11676084","SPC25, NOSTRIN",3e-07,"Metabolite levels",23823483,"Liver enzyme measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168847464,"rs11676084","SPC25, NOSTRIN",3e-07,"Metabolite levels",23823483,"Lipid or lipoprotein measurement"
2,168768525,3.88750235272329e-08,"Uterus",168668525,168868525,2,168847464,"rs11676084","SPC25, NOSTRIN",7e-06,"Metabolite levels",23823483,"Other measurement"
